Date,Campus,Male-Adult,Female-Adult,Kids/Teen,Total,Global total,Comments,unique_id
2024-06-25 00:00:00,Lagos - VI,211,330,30,571,,,390
2024-06-25 00:00:00,Lagos - Ago,180,285,37,502,,,391
2024-06-25 00:00:00,Lagos - Ajah,198,252,21,471,,,392
2024-06-25 00:00:00,Abuja - Utako,293,370,36,699,,,393
2024-06-25 00:00:00,Abuja - Mararaba,92,144,25,261,,,394
2024-06-25 00:00:00,Abuja - Lokogoma,158,278,29,465,,,395
2024-06-25 00:00:00,PHC,230,373,41,644,,,396
2024-06-25 00:00:00,Ibadan,262,380,47,689,,,397
2024-06-25 00:00:00,Ife,98,172,12,282,,,398
2024-06-25 00:00:00,Canada,124,230,32,386,,,399
2024-06-25 00:00:00,UK (Birm),50,84,7,141,,,400
2024-06-25 00:00:00,UK (London),70,145,4,219,,,401
2024-06-25 00:00:00,UK (Glasglow),23,28,2,53,,,402
2024-06-25 00:00:00,UK (Manchester),52,67,3,122,,,403
2024-06-25 00:00:00,Uyo,110,132,9,251,,,404
2024-06-25 00:00:00,Abeokuta,69,121,11,201,8416,,406
2024-07-02 00:00:00,Lagos - Ikeja,723,1058,87,1868,,,407
2024-07-02 00:00:00,Lagos - Yaba,261,399,20,680,,,408
2024-07-02 00:00:00,Lagos - VI,184,263,15,462,,,409
2024-07-02 00:00:00,Lagos - Ago,210,316,43,569,,,410
2024-07-02 00:00:00,Lagos - Ajah,155,167,18,340,,,411
2024-07-02 00:00:00,Abuja - Utako,278,412,36,726,,,412
2024-07-02 00:00:00,Abuja - Mararaba,86,109,14,209,,,413
2024-07-02 00:00:00,Abuja - Lokogoma,182,299,45,526,,,414
2024-07-02 00:00:00,PHC,206,318,37,561,,,415
2024-07-02 00:00:00,Ibadan,295,400,35,730,,,416
2024-07-02 00:00:00,Ife,119,187,5,311,,,417
2024-07-02 00:00:00,Canada (Toronto),133,191,27,351,,,418
2024-07-02 00:00:00,Canada (Ottawa),20,40,2,62,,,419
2024-07-02 00:00:00,UK (Birm),45,77,4,126,,,420
2024-07-02 00:00:00,UK (London),81,157,3,241,,,421
2024-07-02 00:00:00,UK (Glasglow),24,22,1,47,,,422
2024-07-02 00:00:00,UK (Manchester),47,70,10,127,,,423
2024-07-02 00:00:00,Uyo,210,315,9,534,,,424
2024-07-02 00:00:00,Dallas,24,30,0,54,,,425
2024-07-02 00:00:00,Abeokuta,85,108,11,204,8728,,426
2024-07-09 00:00:00,Lagos - Ikeja,683,883,72,1638,,,427
2024-07-09 00:00:00,Lagos - Yaba,159,258,10,427,,,428
2024-07-09 00:00:00,Lagos - VI,157,238,13,408,,,429
2024-07-09 00:00:00,Lagos - Ago,125,215,24,364,,,430
2024-07-09 00:00:00,Lagos - Ajah,91,124,15,230,,,431
2024-07-09 00:00:00,Abuja - Utako,275,352,29,656,,,432
2024-07-09 00:00:00,Abuja - Mararaba,82,124,24,230,,,433
2024-07-09 00:00:00,Abuja - Lokogoma,192,279,26,497,,,434
2024-07-09 00:00:00,PHC,219,360,23,602,,,435
2024-07-09 00:00:00,Ibadan,304,452,31,787,,,436
2024-07-09 00:00:00,Ife,154,180,4,338,,,437
2024-07-09 00:00:00,Canada (Toronto),143,218,35,396,,,438
2024-07-09 00:00:00,UK (Birm),59,83,6,148,,,440
2024-07-09 00:00:00,UK (London),142,71,8,221,,,441
